Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
902.6082,28 bytes,6960,0,80,0.0253,0.0607,0.0883,0.1188,0.7109,2
787.0981,27 bytes,6943,57,100,0.0137,0.0552,0.0779,0.1106,1.5643,1
616.7602,28 bytes,7000,0,125,0.0461,0.1034,0.1386,0.1714,0.7284,1
779.3165,28 bytes,6885,0,135,0.0121,0.0567,0.1020,0.1451,3.8079,2
788.1188,27 bytes,6766,114,160,0.0280,0.0587,0.0910,0.1374,2.3723,1
629.2554,28 bytes,6840,0,180,0.0434,0.0684,0.0896,0.1194,5.4764,1
672.9233,28 bytes,7000,0,200,0.0373,0.0579,0.0772,0.1031,5.7387,1
636.1027,28 bytes,6900,0,300,0.0292,0.0477,0.0638,0.0862,7.6207,1
644.4802,28 bytes,6800,0,400,0.0241,0.0401,0.0533,0.0721,8.4682,1
814.8444,28 bytes,7000,0,500,0.0186,0.0555,0.1022,0.2006,6.5735,2
753.5155,26 bytes,6631,369,1000,0.0148,0.0345,0.1020,3.6329,5.7714,1
602.9023,28 bytes,8000,0,10,0.0093,0.0155,0.0198,0.0246,0.0356,1
853.9224,28 bytes,8000,0,20,0.0076,0.0207,0.0304,0.0411,0.0683,2
660.7700,28 bytes,7962,38,50,0.0310,0.0659,0.0830,0.1123,0.1816,1
629.2752,28 bytes,7980,0,70,0.0512,0.0912,0.1130,0.1542,0.2188,2
583.1853,28 bytes,8000,0,80,0.0472,0.1079,0.1338,0.1717,0.2799,1
679.2504,28 bytes,8000,0,100,0.0510,0.1017,0.1374,0.1659,0.3280,2
585.5352,28 bytes,8000,0,125,0.0496,0.1103,0.1416,0.1786,1.1370,1
613.1366,28 bytes,7965,0,135,0.0354,0.0972,0.1230,0.1629,2.1109,2
857.1159,28 bytes,8000,0,160,0.0159,0.0540,0.0849,0.1285,4.1021,2
809.3475,28 bytes,7920,0,180,0.0129,0.0552,0.0952,0.1534,4.9631,2
771.2972,27 bytes,7827,173,200,0.0229,0.0553,0.0871,0.1602,3.0909,1
620.2896,28 bytes,7800,0,300,0.0351,0.0569,0.0764,0.1033,8.8362,1
624.7568,27 bytes,7815,185,400,0.0287,0.0479,0.0672,0.1042,9.5044,1
665.6278,28 bytes,8000,0,500,0.0218,0.0380,0.0515,0.0749,9.9924,1
887.0386,28 bytes,8000,0,1000,0.0143,0.0383,0.0814,2.1696,8.0182,2
610.2101,28 bytes,9000,0,10,0.0096,0.0154,0.0196,0.0242,0.0343,1
648.9968,28 bytes,9000,0,20,0.0143,0.0294,0.0383,0.0482,0.0661,2
802.9921,28 bytes,9000,0,50,0.0100,0.0451,0.0775,0.1063,0.3568,2
918.2733,28 bytes,8960,0,70,0.0094,0.0409,0.0831,0.1295,0.5554,3
